H40 C [uM]	Salt C [mM]	T [degC]	Size [nm]
10	20	40	7.94
10	20	48	701.9
10	20	55	26.4
10	20	60	24.62
20	20	40	7.406
20	20	45	442.2
20	20	48	221.1
20	20	55	35.63
20	20	60	32.49
30	20	40	7.406
30	20	48	452.4
30	20	55	42.87
30	20	60	40.01
50	20	40	7.07
50	20	48	2387
50	20	55	54.01
50	20	60	49.24
50	20	65	48.13
100	20	35	7.071
100	20	46	2619
100	20	48	2500
100	20	55	31.02
100	20	60	32.49
100	20	65	34.02
30	10	40	7.41
30	10	50	544.2
30	10	55	37.32
30	10	65	34.02
30	20	40	6.447
30	20	48	452.4
30	30	40	7.406
30	30	45	544.2
30	30	48	108
30	30	55	42.87
30	80	40	6.447
30	80	48	2503
30	80	55	864.8
30	80	60	322.1
30	80	65	1262
30	10	55	39.13
30	10	60	33.26
30	10	65	32.49
30	20	40	7.239
30	20	45	706.4
30	20	50	51.57
30	20	55	41.9
30	20	60	37.32
30	30	40	7.406
30	30	46	787.6
30	30	48	89.78
30	30	55	41.9
30	30	60	39.08
30	40	40	7.406
30	40	48	39.08
30	40	55	44.89
30	40	60	40.93
30	40	65	40.93
30	50	40	7.406
30	50	42	596.9
30	50	50	34.02
30	50	55	33.26
30	50	60	34.02
30	50	65	752.85
30	100	39	7.406
30	100	40	496.8
30	100	55	376.1
30	100	60	1194
10	30	40	6.9115
10	30	48	28.28
10	30	49	54.01
10	30	55	27
10	30	60	27
20	30	40	7.406
20	30	46	787.6
20	30	48	64.97
20	30	55	34.06
30	30	55	41.9
40	30	40	6.91
40	30	46	1114
40	30	55	49.24
40	30	60	42.87
40	30	65	47.02
50	30	35	7.406
50	30	45	2177
50	30	55	59.23
50	30	60	50.41
100	30	35	7.079
100	30	44	3969
100	30	50	64.97
100	30	55	49.24
100	30	60	50.41
